,Author,Year,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,AEType1
18,Peters,2022,78,78,1,74,75,0.48125,0.044539,5.199957,TEAE
20,Pal ,2023,261,262,3,253,256,0.3257,0.034101,3.110768,TEAE
29,Rizvi_Durva,2020,362,369,6,346,352,1.112918,0.377707,3.279223,TEAE
29,Rizvi_Durva+Treme,2020,364,371,6,346,352,1.106918,0.375661,3.26163,TEAE
36,Mok,2024,141,141,1,142,143,0.503497,0.046167,5.49118,TEAE
37,Chan,2023,116,116,1,111,112,0.48718,0.044792,5.298793,TEAE
43,Li,2024,351,353,1,181,182,1.031161,0.094124,11.29673,TEAE
45,Xu,2023,322,324,4,317,321,0.49537,0.091371,2.685663,TEAE
51,Lu,2024,201,202,1,201,202,1,0.062977,15.87887,TEAE
50,Lu,2022,321,327,4,328,332,1.522936,0.433751,5.347156,TEAE
49,Yang,2020,266,266,1,130,131,0.2481343,0.02270282,2.712026,TEAE
87,Gandhi,2018,398,405,3,199,202,1.163786,0.3041386,4.453225,TEAE
85,Liu,2024,99,99,1,49,50,0.257426,0.023895,2.773337,TEAE
83,Shen,2022,255,256,4,252,256,0.25,0.028134,2.221524,TEAE
71,Monk,2023,383,385,1,383,384,1.994805,0.181629,21.90863,TEAE
68,Mittendorf,2020,164,164,1,166,167,0.5090361,0.04659966,5.560509,TEAE
66,Antonia,2017,470,475,5,229,234,0.4926316,0.1440373,1.684882,TEAE
64,Pal,2022,390,390,1,382,383,0.491071,0.044711,5.39359,TEAE
63,Herbst,2020,285,286,3,260,263,0.3065268,0.032082,2.928704,TEAE
62,Antoniotti,2022,142,142,1,71,72,0.2569444,0.02368367,2.787593,TEAE
61,Schmid,2020,452,453,0,437,437,1.92967,0.175597,21.2056,TEAE
57,Oaknin,2024,205,205,1,198,199,0.485507,0.04437,5.31259,TEAE
91,Moore,2021,641,642,1,643,644,1.003115,0.062876,16.00358,TEAE
92,Ren,2023,212,213,2,196,198,0.464789,0.042474,5.086129,TEAE
94,Colombo,2021,304,307,4,305,309,0.754886,0.170366,3.34488,TEAE
96,Popat,2020,71,72,0,70,70,1.945946,0.180374,20.99366,TEAE
97,Langer,2016,58,59,1,61,62,1.050847,0.067256,16.41898,TEAE
98,Chung,2021,47,47,2,42,44,0.312925,0.033744,2.901895,TEAE
100,Shitara,2024,398,399,1,399,400,1.002506,0.06292,15.97285,TEAE
101,Rha,2023,779,795,16,771,787,0.989937,0.498559,1.965617,TEAE
102,Long,2022,482,483,2,484,486,0.503106,0.045769,5.530285,TEAE
104,Powles_Pem+chemo,2021,341,349,3,339,342,2.613181,0.699107,9.767762,TEAE
104,Powles_Pem,2021,293,302,3,339,342,3.397351,0.928233,12.43437,TEAE
107,Cortes,2020,561,562,0,281,281,1.003546,0.091382,11.02086,TEAE
108,Paz-Ares,2018,272,278,6,274,280,1.007194,0.3288334,3.084967,TEAE
109,Wakelee,2024,323,325,2,315,317,0.975385,0.138234,6.88235,TEAE
110,Kelley,2023,511,529,25,509,534,0.726805,0.401349,1.316175,TEAE
111,Spicer,2024,395,396,1,398,399,1.007576,0.06324,16.05334,TEAE
113,Machiels,2024,371,398,24,374,398,1.125,0.660845,1.915161,TEAE
119未,Herbst,2016,680,682,1,308,309,0.906158,0.082474,9.956175,TEAE
120,Kwon,2014,396,403,2,394,396,3.439206,0.718835,16.4546,TEAE
122,West,2019,465,473,5,227,232,0.784778,0.259596,2.372439,TEAE
123,Zimmer,2020,54,56,0,51,51,2.741379,0.294082,25.55461,TEAE
123,Zimmer_Nivo+IPI,2020,54,55,0,51,51,1.859649,0.173635,19.91699,TEAE
128,Powles,2020,343,344,0,345,345,2.00578,0.1827121,22.0191,TEAE
130,Rini,2019,429,429,5,420,425,0.16512,0.019963,1.365778,TEAE
139,Finn,2020,325,329,1,155,156,1.896657,0.213749,16.82962,TEAE
140,Qin,2023,330,332,0,330,330,2.982036,0.3117656,28.52315,TEAE
145,Sangro,2025,147,154,2,198,200,4.545455,0.957665,21.5745,TEAE
145,Sangro,2025,228,232,2,198,200,0.869565,0.123616,6.116902,TEAE
148,Haddad,2025,202,202,1,202,203,0.502451,0.04591705,5.49811,TEAE
150,Mitsudomi,2025,293,296,1,300,301,3.050676,0.3191303,29.16246,TEAE
151,Felip,2025,187,200,3,197,200,4.333333,1.253986,14.97448,TEAE
