,Author,Year,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,AEType1
2,Janjigian,2021,784,787,1,767,768,2.927573,0.30518,28.08406,TRAE
3,Hellmann_Nivo+Ipi,2019,579,580,3,567,570,0.327586,0.034175,3.140101,TRAE
3,Hellmann_Nivo,2019,390,391,2,385,387,0.494885,0.045058,5.435504,TRAE
5,Heijden,2023,303,304,0,288,288,1.895425,0.1727903,20.79189,TRAE
8,Doki_Nivo,2022,308,310,3,301,304,0.653763,0.110005,3.885335,TRAE
8,Doki_Nivo+Ipi,2022,322,322,3,301,304,0.134896,0.006996,2.600895,TRAE
9,Spigel,2021,282,282,1,264,265,0.31331,0.012819,7.657795,TRAE
10,Haddad,2022,468,468,7,441,448,0.062829,0.003599,1.09688,TRAE
14,Motzer,2018,545,547,0,535,535,2.934426,0.306183,28.12325,TRAE
16,Owonikoko,2021,276,278,0,273,273,2.946429,0.308358,28.15377,TRAE
17,Castro,2023,402,410,6,393,399,1.297561,0.4542886,3.706156,TRAE
19,Lim,2022,354,355,0,355,355,2,0.182161,21.95863,TRAE
25,Kato,2019,207,209,4,204,208,0.4976077,0.09213841,2.687407,TRAE
26,Kang,2017,329,330,0,161,161,0.981928,0.089689,10.75028,TRAE
27,Sugawara,2021,271,273,2,273,275,1.007326,0.142911,7.10027,TRAE
28,Psyrri_Durva,2023,204,204,1,205,206,0.504854,0.046132,5.524932,TRAE
28,Psyrri_Durva+Treme,2023,413,413,1,205,206,0.250602,0.022855,2.747882,TRAE
30,Goldman_Durva,2021,262,265,1,265,266,3.011321,0.315237,28.76587,TRAE
30,Goldman_Durva+Treme,2021,260,266,1,265,266,6,0.727276,49.4998,TRAE
31,Johnson_Durva,2022,333,334,2,331,333,0.498503,0.045418,5.471489,TRAE
31,Johnson_Durva+Treme,2022,327,330,2,331,333,1.513636,0.254559,9.000258,TRAE
32,Kang,2022,359,359,1,357,358,0.498615,0.045412,5.474689,TRAE
34,Brahmer,2015,131,131,1,128,129,0.492481,0.045201,5.365801,TRAE
42,Zhou,2022,253,255,0,126,126,1.494163,0.156971,14.22249,TRAE
41,Zhou,2022,316,320,2,157,159,0.99375,0.183968,5.367988,TRAE
44,Yan,2024,206,208,1,209,210,2.019231,0.184499,22.09932,TRAE
47,Monk,2021,328,329,0,334,334,2.030211,0.184971,22.28327,TRAE
52,Ren,2022,171,171,1,113,114,0.33526,0.030752,3.655016,TRAE
55,Barlesi,2018,393,393,7,358,365,0.116139,0.014596,0.924101,TRAE
84,Lu,2022,145,145,1,150,151,0.520408,0.047694,5.678352,TRAE
82,Miles,2021,430,432,3,214,217,0.334877,0.056373,1.989306,TRAE
78,Pujade_Ave+chemo,2021,182,182,1,176,177,0.486413,0.04449574,5.31731,TRAE
78,Pujade_Ave,2021,187,187,1,176,177,0.473545,0.0433136,5.177239,TRAE
76,Qin,2024,259,262,1,124,125,1.431298,0.1503814,13.62278,TRAE
70,Powles,2018,459,459,5,438,443,0.160882,0.019446,1.331023,TRAE
69,Horn,2018,197,198,2,194,196,0.49495,0.045245,5.414404,TRAE
67,Jotte_subgroup1,2020,329,332,1,333,334,3.018072,0.315533,28.86784,TRAE
67,Jotte_subgroup2,2020,331,334,1,333,334,3,0.313639,28.69542,TRAE
60,Felip,2023,495,495,2,493,495,0.333333,0.034791,3.193709,TRAE
59,Lee,2023,300,300,2,145,147,0.163355,0.017138,1.5571,TRAE
89,Cohen,2019,246,246,1,233,234,0.4758065,0.04342943,5.212865,TRAE
90,Burtness_Pem,2019,291,300,13,274,287,0.6623077,0.2875415,1.525524,TRAE
90,Burtness_Pem+chemo,2019,264,276,13,274,287,0.9598662,0.445752,2.066941,TRAE
93,Winer,2021,309,309,1,291,292,0.474277,0.043232,5.203045,TRAE
99,Mok,2019,634,636,8,607,615,0.241745,0.051539,1.133914,TRAE
未看103,O'Brien,2022,576,580,3,578,581,1.335632,0.300249,5.941444,TRAE
105,Bellmunt,2017,266,266,2,253,255,0.3196517,0.03346491,3.053265,TRAE
112未,Petrylak,2025,507,514,13,501,514,0.538462,0.216594,1.338638,TRAE
119,Wang,2022,229,230,0,232,232,2.017241,0.184171,22.09503,TRAE
118,Ferris,2016,235,236,1,110,111,0.470339,0.029689,7.451106,TRAE
121,Powles_Durva+Treme,2020,339,340,0,313,313,1.842105,0.167846,20.21701,TRAE
125,Fehrenbacher,2016,141,142,1,135,136,0.957747,0.060505,15.1605,TRAE
129,Reck,2016,476,478,1,475,476,1.991632,0.181194,21.89147,TRAE
132,Socinski,2018,393,393,2,392,394,0.334177,0.034909,3.198984,TRAE
133,Ribas,2013,323,325,1,318,319,1.963077,0.178885,21.54271,TRAE
134,Dent,2024,291,293,0,294,294,3.010169,0.314911,28.77359,TRAE
146,Yue,2025,223,226,0,226,226,4,0.4505214,35.51441,TRAE
