Author,N,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,Combination,Regimen,Cancertype,TypeICI,stage2,Patientslocation,
Peters,47,31,78,15,60,75,3.012821,1.850897,4.904157,ICI vs placebo,ICI vs placebo,SCLC,PD-1/PD-L1 plus CTLA-4 inhibit,Locally advanced undergoing radiotherapy,Multiple regions,
Pal ,4,256,260,4,252,256,0.9846154,0.2489142,3.894786,ICI vs targeted,ICI vs targeted,Renal cell carcinoma,PD-L1 inhibit,Advanced,Multiple regions,
Borghaei,34,253,287,35,233,268,0.907118,0.5832711,1.410773,ICI vs chemo,ICI vs chemo,NSCLC,PD-1 inhibit,Advanced,Multiple regions,
Chan,24,92,116,29,83,112,0.7990488,0.4971817,1.284196,ICI vs chemo,ICI vs chemo,Nasopharyngeal carcinoma ,PD-1 inhibit,Advanced,Multiple regions,
Li,23,330,353,3,179,182,3.952786,1.20279,12.99023,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Esophageal Squamous Cell Carcinoma ,PD-L1 inhibit,Advanced,China,
Yan,27,181,208,30,180,210,0.9086538,0.5604114,1.473296,ICI vs targeted,ICI vs targeted,Renal cell carcinoma,PD-1 inhibit,Advanced,China,
Lu,84,118,202,66,136,202,1.272727,0.9845652,1.645229,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-1 inhibit,Perioperative setting,China,
Lu,29,298,327,36,296,332,0.8178729,0.5139359,1.301556,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Esophageal Squamous Cell Carcinoma ,PD-1 inhibit,Advanced,China,
Zhou,40,139,179,28,150,178,1.420591,0.9184732,2.197209,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-1 inhibit,Advanced,China,
Tewari,50,250,300,33,257,290,1.464646,0.9730915,2.204509,ICI vs chemo,ICI vs chemo,Cervical cancer,PD-1 inhibit,Advanced,Multiple regions,
Liu,5,204,209,2,212,214,2.559809,0.5021755,13.04847,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Nasopharyngeal carcinoma ,PD-1 inhibit,Locally advanced undergoing radiotherapy,China,
Gandhi,92,202,294,40,105,145,1.134354,0.8291425,1.551915,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-1 inhibit,Advanced,Multiple regions,
Wang,26,231,257,20,237,257,1.3,0.7450108,2.268424,ICI vs chemo,ICI vs chemo,Esophageal Squamous Cell Carcinoma ,PD-1 inhibit,Advanced,China,
Chen,99,123,222,64,155,219,1.525971,1.184929,1.965172,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Breast cancer,PD-1 inhibit,Perioperative setting,China,
Westin,38,197,235,56,180,236,0.681459,0.4705993,0.9867977,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Endometrial Cancer,PD-L1 inhibit,Advanced,Multiple regions,
Oh,73,265,338,47,295,342,1.571572,1.124983,2.195447,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Biliary tract cancer,PD-L1 inhibit,Advanced,Multiple regions,
Lu,81,254,335,51,276,327,1.550307,1.130837,2.125375,ICI vs chemo,ICI vs chemo,NSCLC,PD-L1 inhibit,Advanced,Multiple regions,
André,30,123,153,24,119,143,1.168301,0.7186366,1.899328,ICI vs chemo,ICI vs chemo,Colorectal cancer,PD-1 inhibit,Advanced,Multiple regions,
Pal,76,314,390,56,327,383,1.332784,0.9725863,1.826381,ICI vs placebo,ICI vs placebo,Renal cell carcinoma,PD-L1 inhibit,Perioperative setting,Multiple regions,
Herbst,41,245,286,45,218,263,0.8378399,0.5680472,1.23577,ICI vs chemo,ICI vs chemo,NSCLC,PD-L1 inhibit,Advanced,Multiple regions,
Schmid,184,269,453,158,295,453,1.164557,0.9844408,1.377628,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Breast cancer,PD-L1 inhibit,Advanced,Multiple regions,
Oaknin,78,127,205,60,139,199,1.261951,0.9592257,1.660215,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Cervical cancer,PD-L1 inhibit,Advanced,Multiple regions,
Rudin,26,197,223,25,198,223,1.04,0.6203541,1.74352,ICI plus chemo vs chemo,ICI plus chemo vs chemo,SCLC,PD-1 inhibit,Advanced,Multiple regions,
Moore,168,474,642,153,491,644,1.10146,0.9110395,1.331681,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Ovarian cancer,PD-L1 inhibit,Advanced,Multiple regions,
Colombo,76,231,307,84,225,309,0.9106561,0.6972048,1.189456,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Cervical cancer,PD-1 inhibit,Advanced,Multiple regions,
Choueiri,22,466,488,12,484,496,1.863388,0.9325813,3.72323,ICI vs placebo,ICI vs placebo,Renal cell carcinoma,PD-1 inhibit,Perioperative setting,Multiple regions,
Langer,5,54,59,1,61,62,5.254237,0.6323966,43.65458,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-1 inhibit,Advanced,Multiple regions,
Shitara,11,388,399,6,394,400,1.837928,0.6863385,4.921741,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Gastric cancer/Gastroesophageal junction cancer/Oesophageal adenocarcinoma,PD-1 inhibit,Perioperative setting,Multiple regions,
Powles_Pem+chemo,279,70,349,173,169,342,1.58037,1.405599,1.776872,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Urothelial carcinoma,PD-1 inhibit,Advanced,Multiple regions,
Powles_Pem,189,113,302,173,169,342,1.237186,1.079542,1.41785,ICI vs chemo,ICI vs chemo,Urothelial carcinoma,PD-1 inhibit,Advanced,Multiple regions,
Wakelee,16,380,396,23,376,399,0.7009223,0.376028,1.306531,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-1 inhibit,Perioperative setting,Multiple regions,
Machiels,370,28,398,313,85,398,1.182109,1.115615,1.252565,ICI plus chemo vs chemo,ICI plus chemo vs chemo,HNSCC,PD-1 inhibit,Advanced,Multiple regions,
Wu,126,100,226,103,116,219,1.185411,0.9878289,1.422513,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Cervical cancer,PD-1/PD-L1 plus CTLA-4 inhibit,Advanced,China,
Emens,42,90,132,17,49,66,1.235294,0.7645913,1.995774,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Breast cancer,PD-L1 inhibit,Advanced,Multiple regions,
Herbst,22,660,682,22,287,309,0.4530792,0.2548289,0.8055632,ICI vs chemo,ICI vs chemo,NSCLC,PD-1 inhibit,Advanced,Multiple regions,
Galsky,12,43,55,9,43,52,1.260606,0.579783,2.740901,ICI vs placebo,ICI vs placebo,Urothelial carcinoma,PD-1 inhibit,Advanced,America,
Kwon,123,276,399,94,302,396,1.298672,1.032127,1.634052,ICI vs placebo,ICI vs placebo,Prostate cancer,CTLA-4 inhibit,Locally advanced undergoing radiotherapy,Multiple regions,放疗
West,298,175,473,103,129,232,1.419077,1.209606,1.664823,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-L1 inhibit,Advanced,Multiple regions,
Eng_Ate+TKI,32,147,179,11,69,80,1.300152,0.6908588,2.446804,ICI vs targeted,ICI vs targeted,Colorectal cancer,PD-L1 inhibit,Advanced,Multiple regions,
Eng_Ate,5,85,90,11,69,80,0.4040404,0.1466689,1.113042,ICI vs targeted,ICI vs targeted,Colorectal cancer,PD-L1 inhibit,Advanced,Multiple regions,
