Author,N,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,Combination,Regimen,Cancertype,TypeICI,stage2,Patientslocation
Fang,49,112,161,33,128,161,1.484848,1.011859,2.178935,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-1 inhibit,Advanced,China
Yau,1,366,367,5,358,363,0.1978202,0.02322417,1.685004,ICI vs targeted,ICI vs targeted,Hepatocellular carcinoma,PD-1 inhibit,Advanced,Multiple regions
Allaf,20,346,366,8,379,387,2.643443,1.179046,5.926648,ICI vs placebo,ICI vs placebo,Renal cell carcinoma,PD-1 inhibit,Perioperative setting,Multiple regions
Wu,1,336,337,5,151,156,0.0925816,0.01090721,0.785843,ICI vs chemo,ICI vs chemo,NSCLC,PD-1 inhibit,Advanced,Multiple regions
Kato,2,207,209,6,202,208,0.3317384,0.06773266,1.624776,ICI vs chemo,ICI vs chemo,Esophageal Squamous Cell Carcinoma ,PD-1 inhibit,Advanced,Multiple regions
Goldman_Durva,27,238,265,22,244,266,1.231904,0.7203205,2.106822,ICI plus chemo vs chemo,ICI plus chemo vs chemo,SCLC,PD-L1 inhibit,Advanced,Multiple regions
Goldman_Durva+Treme,41,225,266,22,244,266,1.863636,1.142492,3.039968,ICI plus chemo vs chemo,ICI plus chemo vs chemo,SCLC,PD-1/PD-L1 plus CTLA-4 inhibit,Advanced,Multiple regions
Kang,11,348,359,11,347,358,0.9972145,0.4379658,2.270581,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Gastric cancer/Gastroesophageal junction cancer/Oesophageal adenocarcinoma,PD-1 inhibit,Advanced,Multiple regions
Zhou,43,277,320,21,138,159,1.017411,0.6258482,1.653955,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-L1 inhibit,Advanced,China
Zheng,6,121,127,0,125,125,6.891473,0.8601318,55.21525,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Esophageal Squamous Cell Carcinoma ,PD-1 inhibit,Perioperative setting,China
Gogishvili,68,244,312,27,126,153,1.235043,0.8264766,1.845582,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-1 inhibit,Advanced,Multiple regions
Xu,21,303,324,18,303,321,1.155864,0.627818,2.12804,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Esophageal Squamous Cell Carcinoma ,PD-1 inhibit,Advanced,Multiple regions
Monk,119,210,329,65,269,334,1.858592,1.431407,2.413267,ICI plus chemo vs chemo,ICI plus chemo vs chemo,Ovarian cancer,PD-L1 inhibit,Advanced,Multiple regions
Ren,14,157,171,16,98,114,0.5833333,0.2964129,1.147986,ICI plus chemo vs chemo,ICI plus chemo vs chemo,NSCLC,PD-1 inhibit,Advanced,China
Shi,10,134,144,19,111,130,0.4751462,0.2294141,0.9840892,ICI vs chemo,ICI vs chemo,NSCLC,PD-1 inhibit,Advanced,China
Barlesi,3,390,393,32,333,365,0.08707061,0.02689297,0.2819061,ICI vs chemo,ICI vs chemo,NSCLC,PD-L1 inhibit,Advanced,Multiple regions
