Author,Year,N,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,FNrisk
Spigel,2021,0,282,282,2,263,265,0.3133803,0.0327984,2.994268,High risk
Baas,2021,0,300,300,3,281,284,0.236755,0.02661978,2.105687,Intermediate risk
Castro,2023,0,410,410,5,394,399,0.01961631,1.34145,1.358214,Intermediate risk
Wu,2019,0,337,337,6,150,156,0.06658239,0.008261741,0.5365956,Intermediate risk
Kato,2019,0,209,209,22,186,208,0.0432722,0.005897279,0.3175165,Intermediate risk
Rizvi_Durva,2020,0,369,369,2,350,352,0.3180593,0.0332387,3.043492,Intermediate risk
Rizvi_Durva+Treme,2020,0,371,371,2,350,352,0.3163539,0.03306007,3.027211,Intermediate risk
Brahmer,2015,0,131,131,14,125,129,0.07067669,0.009466398,0.5276764,Intermediate risk
Borghaei,2015,0,287,287,27,241,268,0.03336629,0.004571144,0.2435515,Intermediate risk
Chan,2023,0,116,116,6,106,112,0.1380145,0.01725153,1.104134,Intermediate risk
Tewari,2022,1,299,300,0,290,290,1.933775,0.1762891,21.21223,High risk
Barlesi,2018,0,393,393,37,328,365,0.02445037,0.003374053,0.1771817,Intermediate risk
Zhou,2023,0,535,535,33,225,258,0.01424033,0.001960079,0.1034586,Intermediate risk
Shen,2022,0,255,255,1,239,240,0.4708171,0.04296554,5.159222,Intermediate risk
Huang,2020,0,228,228,5,215,220,0.1608696,0.01952311,1.325558,Intermediate risk
Lu,2025,0,335,335,2,325,327,0.3254204,0.03402204,3.112642,Intermediate risk
Powles,2018,1,458,459,25,418,443,0.111446,0.015225,0.815768,Intermediate risk
Herbst,2020,0,286,286,9,254,263,0.09201389,0.01185863,0.7139574,Intermediate risk
Ren,2023,1,212,213,0,198,198,1.860465,0.1700031,20.36039,Intermediate risk
Winer,2021,0,309,309,10,282,292,0.08593978,0.01116419,0.6615478,Intermediate risk
Bellmunt,2017,0,266,266,19,236,255,0.04794776,0.006481895,0.3546783,Intermediate risk
Herbst,2016,5,225,230,2,230,232,2.521739,0.494241,12.86653,Intermediate risk
