Author,Year,N,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,AEType1
Yau,2022,0,367,367,2,361,363,0.32972,0.03445522,3.155262,TRAE
Peters,2022,9,69,78,3,72,75,2.884615,0.8120072,10.24745,TEAE
Allaf,2024,2,364,366,1,386,387,2.114754,0.1925684,23.22388,TRAE
Goldman_Durva,2021,2,263,265,0,266,266,3.011236,0.3152126,28.76644,TRAE
Kang,2022,1,358,359,1,357,358,0.9972145,0.06261319,15.88223,TRAE
Gogishvili,2022,5,307,312,1,152,153,2.451923,0.2889599,20.80541,TRAE
Yan,2024,25,183,208,29,181,210,0.8703581,0.5282315,1.434074,TEAE
Monk,2021,90,567,657,29,305,334,1.577704,1.060483,2.347185,TRAE
Shi,2022,3,141,144,1,129,130,2.708333,0.2852404,25.7154,TRAE
Tewari,2022,50,250,300,33,257,290,1.464646,0.9730915,2.204509,TEAE
Gandhi,2018,30,264,294,9,136,145,1.643991,0.8019226,3.370283,TEAE
Huang,2020,0,228,228,2,218,220,0.3217391,0.03371873,3.069987,TRAE
Chen,2024,62,160,222,38,181,219,1.609531,1.125107,2.302526,TEAE
Pujade_Ave+chemo,2021,1,181,182,1,176,177,0.9725275,0.06129959,15.4293,TRAE
Pujade_Ave,2021,0,187,187,1,176,177,0.9365079,0.05902088,14.85995,TRAE
Qin,2024,1,261,262,1,124,125,0.4770992,0.0300862,7.565717,TRAE
Westin,2023,33,202,235,50,186,236,0.6628085,0.4439506,0.9895586,TEAE
Monk,2023,37,348,385,31,353,384,1.190448,0.7546622,1.877883,TRAE
Horn,2018,0,198,198,1,195,196,0.495,0.04524596,5.4154,TRAE
André,2020,14,139,153,16,127,143,0.8178105,0.4142779,1.614409,TEAE
Pal,2022,23,367,390,18,365,383,1.254843,0.688347,2.287555,TEAE
Herbst,2020,8,278,286,10,253,263,0.7356643,0.2947914,1.835881,TEAE
Schmid,2020,59,394,453,52,385,437,1.094541,0.7721738,1.551489,TEAE
Felip,2023,16,479,495,13,482,495,1.230769,0.5983792,2.531493,TRAE
Galsky,2020,36,417,453,37,353,390,0.837659,0.540339,1.298579,TEAE
Oaknin,2024,48,157,205,41,158,199,1.136466,0.7862872,1.642601,TEAE
Cohen,2019,0,246,246,1,233,234,0.4758065,0.04342943,5.212865,TRAE
Moore,2021,123,519,642,112,530,642,1.098214,0.8713117,1.384206,TEAE
Winer,2021,0,309,309,7,285,292,0.1345889,0.01665952,1.087316,TRAE
Colombo,2021,73,234,307,80,229,309,0.9184446,0.6975312,1.209323,TEAE
Choueiri,2021,2,486,488,2,494,496,1.016393,0.1437397,7.18699,TEAE
Shitara,2024,1,398,399,1,399,400,1.002506,0.06292045,15.97285,TEAE
Long,2022,0,483,483,1,485,486,0.5030928,0.04576714,5.53022,TEAE
O'Brien,2022,5,575,580,5,576,581,1.001724,0.2915511,3.441768,TRAE
Powles_Pem+chemo,2021,105,244,349,70,272,342,1.469914,1.129861,1.912312,TEAE
Powles_Pem,2021,83,219,302,70,272,342,1.342763,1.017003,1.772867,TEAE
Bellmunt,2017,39,227,266,34,221,255,1.099624,0.717755,1.68466,TRAE
Lorusso,2024,121,407,528,146,384,530,0.8319064,0.6752376,1.024926,TRAE
Paz-Ares,2018,3,275,278,4,276,280,0.7553957,0.1706293,3.344224,TRAE
Petrylak,2025,2,512,514,2,512,514,1,0.1413971,7.072281,TRAE
Machiels,2024,27,371,398,18,380,398,1.5,0.8398481,2.679056,TEAE
Wu,2024,66,160,226,56,163,219,1.194216,0.8802741,1.620123,TEAE
Emens,2020,10,122,132,8,60,68,0.6439394,0.2664347,1.556321,TEAE
Ferris,2016,4,232,236,0,111,111,2.37395,0.2806043,20.08393,TRAE
Herbst,2016,1,681,682,4,305,309,0.1132698,0.01271207,1.009281,TEAE
Galsky,2020,10,45,55,5,47,52,1.890909,0.6925945,5.162526,TEAE
Kwon,2014,51,342,393,35,361,396,1.468266,0.9773903,2.205675,TEAE
Powles_Durva,2020,3,342,345,11,302,313,0.2474308,0.0696657,0.8787972,TRAE
Powles_Durva+Treme,2020,1,339,340,11,302,313,0.08368984,0.01086699,0.6445197,TRAE
West,2019,74,399,473,24,208,232,1.512333,0.9810536,2.33132,TEAE
Zimmer,2020,1,55,56,1,50,51,0.9107143,0.05846658,14.18589,TRAE
Zimmer_Nivo+IPI,2020,1,54,55,1,50,51,0.9272727,0.05954313,14.44054,TRAE
Eng_Ate+TKI,2019,9,170,179,4,76,80,1.005587,0.3190627,3.169296,TEAE
Eng_Ate,2019,2,88,90,4,76,80,0.4444444,0.08362541,2.362091,TEAE
Powles,2020,22,322,344,13,332,345,1.697227,0.8691842,3.314119,TEAE
Rini,2019,0,429,429,1,424,425,0.4953596,0.04508355,5.442809,TEAE
Socinski,2018,1,392,393,1,393,394,1.002545,0.06292618,15.97261,TRAE
Ren,2021,1,379,380,0,185,185,0.9790576,0.08934208,10.72903,TEAE
Kelley,2022,4,425,429,1,394,395,3.682984,0.4133928,32.8123,TRAE
Janjigian,2025,28,447,475,20,449,469,1.382316,0.7900136,2.418689,TEAE
Sangro,2025,14,140,154,16,184,200,1.136364,0.5723613,2.256131,TEAE
Sangro,2025,16,216,232,16,184,200,0.862069,0.4426046,1.679067,TEAE
