Author,N,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U
Fang,3,158,161,1,160,161,3,0.315362,28.53861
Atkins_A,2,124,126,1,129,130,2.063492,0.189463,22.47405
Atkins_B,0,42,42,4,22,26,0.069767,0.003909,1.245203
Yau,0,367,367,3,360,363,0.24729,0.027771,2.202011
Baas,0,300,300,3,281,284,0.135026,0.007005,2.602621
Castro,8,402,410,9,390,399,0.8845528,0.3446769,2.27005
Allaf,10,356,366,6,381,387,1.762295,0.647017,4.800005
Vano_Nivo+Ipi,4,97,101,1,39,40,1.584158,0.182595,13.74385
Vano_Nivo,0,58,58,1,39,40,0.35,0.032787,3.736198
Wu,0,337,337,4,152,156,0.093215,0.010981,0.791292
Kato,2,207,209,5,203,208,0.3980861,0.07810775,2.028897
Goldman_Durva,21,244,265,14,252,266,1.50566,0.78248,2.897216
Goldman_Durva+Treme,29,237,266,14,252,266,2.071429,1.120118,3.830683
Kang,6,353,359,7,351,358,0.854755,0.290105,2.51842
Brahmer,2,129,131,6,123,129,0.3282443,0.06749132,1.596417
Zhou,8,247,255,1,125,126,3.952941,0.499849,31.26091
Zhou,20,300,320,9,150,159,1.104167,0.514636,2.369022
Gogishvili,15,297,312,3,150,153,2.451923,0.720685,8.341963
Yan,2,206,208,2,208,210,1.009615,0.143556,7.100525
Monk,23,306,329,11,323,334,2.122686,1.051779,4.283976
Ren,7,164,171,9,105,114,0.518519,0.198756,1.352718
Shi,5,139,144,7,123,130,0.644841,0.209791,1.982073
Barlesi,1,392,393,20,345,365,0.046438,0.006264,0.344279
Zhou,40,494,534,24,234,258,0.805243,0.496402,1.306234
Lu,0,145,145,2,149,151,0.346939,0.036499,3.297805
Huang,2,226,228,7,213,220,0.275689,0.057901,1.312666
Pujade_Ave+chemo,5,177,182,7,170,177,0.694663,0.224657,2.147971
Pujade_Ave,1,186,187,7,170,177,0.135218,0.016805,1.088013
Lee,29,319,348,25,319,344,1.146667,0.685999,1.916685
Qin,1,261,262,0,125,125,0.9621212,0.08805751,10.51219
Monk,16,369,385,13,371,384,1.227572,0.598678,2.517104
Horn,4,194,198,4,192,196,0.989899,0.251091,3.902565
Jotte_subgroup1,6,326,332,6,328,334,1.006024,0.327797,3.08753
Jotte_subgroup2,6,327,333,6,328,334,1.006024,0.327797,3.08753
Felip,31,464,495,17,478,495,1.823529,1.022776,3.251211
Cohen,1,245,246,10,224,234,0.095122,0.012272,0.737318
Burtness_Pem,48,252,300,52,235,287,0.883077,0.617719,1.262427
Burtness_Pem+chemo,63,213,276,52,235,287,1.259824,0.907577,1.748785
Winer,0,309,309,7,285,292,0.1181672,0.01486975,0.939053
Mok,3,633,636,19,596,615,0.152681,0.04541,0.513355
O'Brien,42,532,574,25,556,581,1.700488,1.050674,2.752193
Bellmunt,36,230,266,29,226,255,1.190044,0.752834,1.881164
Lorusso,21,507,528,21,509,530,1.003788,0.554904,1.815793
Petrylak,20,494,514,24,490,514,0.833333,0.466261,1.48939
Wang,3,227,230,2,230,232,1.513043,0.25518,8.971304
Ferris,28,208,236,18,93,111,0.731638,0.423183,1.264924
Powles_Durva,5,340,345,13,300,313,0.348941,0.125825,0.96769
Powles_Durva+Treme,7,333,340,13,300,313,0.495701,0.200343,1.226498
Reck,5,473,478,3,473,476,1.659693,0.398873,6.905904
Socinski,16,377,393,8,386,394,2.005089,0.868112,4.631178
Yau,3,329,332,2,323,325,1.468373,0.246962,8.730596
Yang,12,122,134,7,122,129,1.65032,0.6707893,4.060225
Kelley,8,421,429,5,390,395,1.473193,0.485999,4.465646
