Author,Year,N,non-infection/ICI,ALT,N1,non-infection/control,ALT1,OR,L,U,AEType1
Fang,2024,49,112,161,33,128,161,1.484848,1.011859,2.178935,TRAE
Janjigian,2021,1,785,786,0,768,768,1.954315,0.1775674,21.50927,TRAE
Doki_Nivo,2022,2,308,310,0,304,304,2.942308,0.3077343,28.13197,TRAE
Doki_Nivo+Ipi,2022,0,322,322,1,303,304,0.4722222,0.04303612,5.181551,TRAE
Haddad,2022,0,468,468,2,446,448,0.3191489,0.03331939,3.05696,TRAE
Yau,2022,1,366,367,1,362,363,0.9891008,0.06209947,15.75409,TRAE
Motzer,2018,2,545,547,0,535,535,2.934426,0.306183,28.12325,TRAE
Baas,2021,0,300,300,2,282,284,0.4260486,0.04453854,4.075513,TRAE
Castro,2023,6,407,413,4,395,399,1.449153,0.4120163,5.09699,TRAE
Peters,2022,18,60,78,8,67,75,2.163462,1.001549,4.673329,TEAE
Lim,2022,1,354,355,0,355,355,2,0.182161,21.95863,TRAE
Pal ,2023,0,262,262,2,254,256,0.3257576,0.03410535,3.111477,TEAE
Allaf,2024,9,357,366,4,383,387,2.379098,0.7390498,7.65863,TRAE
Vano_Nivo+Ipi,2022,1,100,101,1,39,40,0.3960396,0.02537964,6.180047,TRAE
Vano_Nivo,2022,0,58,58,1,39,40,0.35,0.03278734,3.736198,TRAE
Wu,2019,1,336,337,3,153,156,0.1543027,0.01617838,1.471675,TRAE
Kato,2019,2,207,209,4,204,208,0.4976077,0.09213841,2.687407,TRAE
Kang,2017,1,329,330,0,161,161,0.981928,0.089689,10.75028,TRAE
Sugawara,2021,0,273,273,1,274,275,0.5036364,0.0459319,5.522296,TRAE
Psyrri_Durva,2023,0,204,204,1,205,206,0.504854,0.046132,5.524932,TRAE
Psyrri_Durva+Treme,2023,0,413,413,1,205,206,0.250602,0.022855,2.747882,TRAE
Rizvi_Durva,2020,4,365,369,5,347,352,0.7631436,0.2065976,2.81895,TEAE
Rizvi_Durva+Treme,2020,4,367,371,5,347,352,0.7590296,0.2054794,2.803814,TEAE
Goldman_Durva,2021,14,251,265,18,248,266,0.7807128,0.3965483,1.537045,TRAE
Goldman_Durva+Treme,,27,239,266,18,248,266,1.5,0.8468631,2.656864,TRAE
Johnson_Durva,2022,1,333,334,2,331,333,0.498503,0.045418,5.471489,TRAE
Johnson_Durva+Treme,2022,1,329,330,2,331,333,0.5045455,0.04597007,5.537649,TRAE
Kang,2022,0,359,359,2,356,358,0.33241,0.03473922,3.180739,TRAE
Brahmer,2015,2,129,131,3,126,129,0.6564885,0.1115276,3.86431,TRAE
Borghaei,2015,34,253,287,35,233,268,0.907118,0.5832711,1.410773,TEAE
Mok,2024,0,141,141,1,142,143,0.503497,0.046167,5.49118,TEAE
Chan,2023,24,92,116,29,83,112,0.7990488,0.4971817,1.284196,TEAE
Zhou,2022,7,248,255,1,125,126,3.458824,0.4302018,27.80895,TRAE
Zhou,2022,41,279,320,21,138,159,0.9700893,0.5940811,1.584082,TRAE
Li,2024,23,330,353,3,179,182,3.952786,1.20279,12.99023,TEAE
Zheng,2024,4,123,127,0,125,125,4.922481,0.5831943,41.54844,TRAE
Gogishvili,2022,26,286,312,11,142,153,1.159091,0.5884407,2.283139,TRAE
Yan,2024,1,207,208,0,210,210,2.019048,0.1844684,22.09893,TRAE
Xu,2023,13,311,324,11,310,321,1.170875,0.5324678,2.574708,TEAE
Lu,2022,24,303,327,30,302,332,0.8122324,0.4855093,1.358824,TEAE
Wang,2022,2,306,308,0,156,156,1.529032,0.1603407,14.58107,TEAE
Monk,2021,49,607,656,13,321,334,1.91909,1.056259,3.486746,TRAE
Zhou,2021,40,139,179,28,150,178,1.420591,0.9184732,2.197209,TEAE
Yang,2020,0,266,266,1,130,131,0.2481343,0.02270282,2.712026,TEAE
Ren,2022,14,157,171,16,98,114,0.5833333,0.2964129,1.147986,TRAE
Shi,2022,4,140,144,11,119,130,0.3282828,0.1071595,1.005693,TRAE
Barlesi,2018,2,391,393,21,344,365,0.08845268,0.02088555,0.3746072,TRAE
Liu,2024,5,204,209,2,212,214,2.559809,0.5021755,13.04847,TEAE
Gandhi,2018,62,232,294,33,112,145,0.9266131,0.6383968,1.34495,TEAE
Zhou,2023,71,463,534,36,222,258,0.9528714,0.656557,1.382917,TRAE
Lu,2022,4,141,145,5,146,151,0.8331034,0.2282064,3.041376,TRAE
Shen,2022,1,254,255,1,239,240,0.9411765,0.0591977,14.96364,TEAE
Miles,2021,1,431,432,2,215,217,0.2511574,0.02289975,2.754617,TRAE
Wang,2022,26,231,257,20,237,257,1.3,0.7450108,2.268424,TEAE
Huang,2020,1,227,228,5,215,220,0.1929825,0.02272651,1.638713,TRAE
