Author,Year,N,non-infection/ICI,non-infection/ICI,ALT,N1,non-infection/control,OR,L,U,AEType1
Janjigian,2021,1,785,786,0,768,768,1.954315,0.1775674,21.50927,TRAE
Hellmann_Nivo+Ipi,2019,1,579,580,3,567,570,0.327586,0.034175,3.140101,TRAE
Hellmann_Nivo,2019,1,390,391,2,385,387,0.494885,0.045058,5.435504,TRAE
Heijden,2023,1,303,304,0,288,288,1.895425,0.1727903,20.79189,TRAE
Atkins_A,2022,2,124,126,1,129,130,2.063492,0.189463,22.47405,TRAE
Atkins_B,2022,0,42,42,4,22,26,0.069767,0.003909,1.245203,TRAE
Doki_Nivo,2022,0,310,310,1,303,304,0.4903846,0.04469561,5.380329,TRAE
Doki_Nivo+Ipi,2022,0,322,322,2,302,304,0.3148148,0.03292298,3.01031,TRAE
Spigel,2021,0,282,282,1,264,265,0.31331,0.012819,7.657795,TRAE
Haddad,2022,0,468,468,5,443,448,0.1595745,0.01928676,1.320284,TRAE
Yau,2022,0,367,367,1,362,363,0.4945799,0.04504102,5.430813,TRAE
Baas,2021,0,300,300,1,283,284,0.6390728,0.05822098,7.014896,TRAE
Owonikoko,2021,1,277,278,0,273,273,1.964286,0.1791383,21.53876,TRAE
Castro,2023,4,406,410,5,394,399,0.7785366,0.2105772,2.87837,TRAE
Peters,2022,1,77,78,0,75,75,1.925,0.1781565,20.79983,TEAE
Pal ,2023,0,262,262,1,255,256,0.4886364,0.04457882,5.35603,TEAE
Allaf,2024,2,364,366,1,386,387,2.114754,0.1925684,23.22388,TRAE
Kato,2019,0,209,209,1,207,208,0.4976303,0.04546634,5.446578,TRAE
Sugawara,2021,1,272,273,1,274,275,1.007326,0.06332365,16.02412,TRAE
Psyrri_Durva,2023,0,204,204,1,205,206,0.504854,0.046132,5.524932,TRAE
Psyrri_Durva+Treme,2023,0,413,413,1,205,206,0.250602,0.022855,2.747882,TRAE
Rizvi_Durva,2020,2,367,369,1,351,352,1.907859,0.1737614,20.94785,TEAE
Rizvi_Durva+Treme,2020,2,369,371,1,351,352,1.897574,0.1728226,20.83516,TEAE
Goldman_Durva,2021,4,261,265,1,265,266,4.015094,0.451729,35.68729,TRAE
Goldman_Durva+Treme,,1,265,266,1,265,266,1,0.06287269,15.90516,TRAE
Johnson_Durva+Treme,2022,2,328,330,0,333,333,3.027108,0.3164754,28.95449,TRAE
